Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 6570,https://www.congress.gov/bill/118th-congress/house-bill/6570,118th Congress (2023-2024),Protect Liberty and End Warrantless Surveillance Act of 2023,"Biggs, Andy [Rep.-R-AZ-5]",12/04/2023,"House - Judiciary, Intelligence (Permanent Select)","Placed on the Union Calendar, Calendar No. 248.",12/11/2023,33,,,,,
H.R. 6611,https://www.congress.gov/bill/118th-congress/house-bill/6611,118th Congress (2023-2024),FISA Reform and Reauthorization Act of 2023,"Turner, Michael R. [Rep.-R-OH-10]",12/06/2023,"House - Intelligence (Permanent Select), Judiciary","Reported by the Committee on Intelligence. H. Rept. 118-302, Part I.",12/08/2023,1,,,,,
H.R. 4468,https://www.congress.gov/bill/118th-congress/house-bill/4468,118th Congress (2023-2024),Choice in Automobile Retail Sales Act of 2023,"Walberg, Tim [Rep.-R-MI-5]",07/06/2023,House - Energy and Commerce | Senate - Environment and Public Works,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.,12/07/2023,34,,,,,
H.R. 5933,https://www.congress.gov/bill/118th-congress/house-bill/5933,118th Congress (2023-2024),DETERRENT Act,"Steel, Michelle [Rep.-R-CA-45]",10/11/2023,House - Education and the Workforce,Received in the Senate.,12/07/2023,26,,,,,
H.R. 3848,https://www.congress.gov/bill/118th-congress/house-bill/3848,118th Congress (2023-2024),Housing our Military Veterans Effectively Act of 2023,"Chavez-DeRemer, Lori [Rep.-R-OR-5]",06/06/2023,House - Veterans' Affairs | Senate - Veterans' Affairs,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,12/06/2023,4,,,,,
H.R. 542,https://www.congress.gov/bill/118th-congress/house-bill/542,118th Congress (2023-2024),Elizabeth Dole Home Care Act of 2023,"Brownley, Julia [Rep.-D-CA-26]",01/26/2023,House - Veterans' Affairs,Received in the Senate.,12/06/2023,76,,,,,
H.R. 1547,https://www.congress.gov/bill/118th-congress/house-bill/1547,118th Congress (2023-2024),One Seat Ride Act,"Kean, Thomas H. [Rep.-R-NJ-7]",03/10/2023,"House - Transportation and Infrastructure | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/06/2023,1,,,,,
H.R. 3581,https://www.congress.gov/bill/118th-congress/house-bill/3581,118th Congress (2023-2024),COPE Act,"Kiggans, Jennifer A [Rep.-R-VA-2]",05/22/2023,House - Veterans' Affairs | Senate - Veterans' Affairs,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,12/05/2023,5,,,,,
H.R. 1713,https://www.congress.gov/bill/118th-congress/house-bill/1713,118th Congress (2023-2024),DOE and USDA Interagency Research Act,"Lucas, Frank D. [Rep.-R-OK-3]",03/22/2023,"House - Science, Space, and Technology, Agriculture | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,12/05/2023,10,,,,,
H.Res. 906,https://www.congress.gov/bill/118th-congress/house-resolution/906,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 4468) to prohibit the Administrator of the Environmental Protection Agency from finalizing, implementing, or enforcing a proposed rule with respect to emissions from vehicles, and for other purposes; providing for consideration of the bill (H.R. 5933) to amend the Higher Education Act of 1965 to require additional information in disclosures of foreign gifts and contracts from foreign sources, restrict contracts with certain foreign entities and foreign countries of concern, require certain staff and faculty to report foreign gifts and contracts, and require disclosure of certain foreign investments within endowments; and providing for consideration of the joint resolution (H. J. Res. 88) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to ""Improving Income Driven Repayment for the William D. Ford Federal Direct Loan Program and the Federal Family Education Loan (FFEL) Program"".","Houchin, Erin [Rep.-R-IN-9]",12/04/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,12/05/2023,0,,,,,
H.R. 2980,https://www.congress.gov/bill/118th-congress/house-bill/2980,118th Congress (2023-2024),DOE and NSF Interagency Research Act,"Stevens, Haley M. [Rep.-D-MI-11]",04/27/2023,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/05/2023,2,,,,,
H.R. 2988,https://www.congress.gov/bill/118th-congress/house-bill/2988,118th Congress (2023-2024),DOE and NASA Interagency Research Coordination Act,"Williams, Brandon [Rep.-R-NY-22]",04/27/2023,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/05/2023,4,,,,,
H.R. 5961,https://www.congress.gov/bill/118th-congress/house-bill/5961,118th Congress (2023-2024),No Funds for Iranian Terrorism Act,"McCaul, Michael T. [Rep.-R-TX-10]",10/16/2023,"House - Foreign Affairs, Financial Services | Senate - Foreign Relations",Received in the Senate and Read twice and referred to the Committee on Foreign Relations.,12/04/2023,34,,,,,
H.R. 2798,https://www.congress.gov/bill/118th-congress/house-bill/2798,118th Congress (2023-2024),CFPB Transparency and Accountability Reform Act,"Barr, Andy [Rep.-R-KY-6]",04/24/2023,"House - Financial Services, Oversight and Accountability, Judiciary, Small Business","Placed on the Union Calendar, Calendar No. 241.",12/04/2023,2,,,,,
H.R. 5283,https://www.congress.gov/bill/118th-congress/house-bill/5283,118th Congress (2023-2024),Protecting our Communities from Failure to Secure the Border Act of 2023,"Malliotakis, Nicole [Rep.-R-NY-11]",08/25/2023,"House - Natural Resources, Agriculture | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,12/04/2023,16,,,,,
H.R. 4667,https://www.congress.gov/bill/118th-congress/house-bill/4667,118th Congress (2023-2024),RECLAIM Taxpayer Funds Act,"Salazar, Maria Elvira [Rep.-R-FL-27]",07/17/2023,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,12/04/2023,2,,,,,
H.R. 4666,https://www.congress.gov/bill/118th-congress/house-bill/4666,118th Congress (2023-2024),To require the Inspector General of the Small Business Administration to submit a quarterly report on fraud relating to certain COVID-19 loans.,"Bean, Aaron [Rep.-R-FL-4]",07/17/2023,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,12/04/2023,3,,,,,
H.R. 1807,https://www.congress.gov/bill/118th-congress/house-bill/1807,118th Congress (2023-2024),Improving Disclosure for Investors Act of 2023,"Huizenga, Bill [Rep.-R-MI-4]",03/27/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 239.",12/01/2023,4,,,,,
H.R. 6068,https://www.congress.gov/bill/118th-congress/house-bill/6068,118th Congress (2023-2024),Clergy Act,"McCarthy, Kevin [Rep.-R-CA-20]",10/26/2023,House - Ways and Means,"Placed on the Union Calendar, Calendar No. 232.",12/01/2023,13,,,,,
H.R. 1109,https://www.congress.gov/bill/118th-congress/house-bill/1109,118th Congress (2023-2024),Bank Service Company Examination Coordination Act of 2023,"Williams, Roger [Rep.-R-TX-25]",02/21/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 234.",12/01/2023,4,,,,,
H.R. 1161,https://www.congress.gov/bill/118th-congress/house-bill/1161,118th Congress (2023-2024),Aligning SEC Regulations for the World Bank’s International Development Association Act,"Waters, Maxine [Rep.-D-CA-43]",02/24/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 233.",12/01/2023,0,,,,,
H.R. 5427,https://www.congress.gov/bill/118th-congress/house-bill/5427,118th Congress (2023-2024),"To prohibit individuals convicted of defrauding the Government from receiving any assistance from the Small Business Administration, and for other purposes.","Williams, Roger [Rep.-R-TX-25]",09/13/2023,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,11/29/2023,2,,,,,
H.R. 4668,https://www.congress.gov/bill/118th-congress/house-bill/4668,118th Congress (2023-2024),POST IT Act of 2023,"Molinaro, Marcus J. [Rep.-R-NY-19]",07/17/2023,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,11/29/2023,3,,,,,
H.R. 3209,https://www.congress.gov/bill/118th-congress/house-bill/3209,118th Congress (2023-2024),I–27 Numbering Act of 2023,"Arrington, Jodey C. [Rep.-R-TX-19]",05/11/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 229.",11/29/2023,6,,,,,
H.Res. 891,https://www.congress.gov/bill/118th-congress/house-resolution/891,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 5283) to prohibit the use of Federal funds to provide housing to specified aliens on any land under the administrative jurisdiction of the Federal land management agencies; providing for consideration of the bill (H.R. 5961) to freeze certain Iranian funds involved in the 2023 hostage deal between the United States and Iran, and for other purposes; and providing for consideration of the joint resolution (S. J. Res. 32) providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Small Business Lending Under the Equal Credit Opportunity Act (Regulation B)"".","Reschenthaler, Guy [Rep.-R-PA-14]",11/28/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,11/29/2023,0,,,,,
H.R. 4480,https://www.congress.gov/bill/118th-congress/house-bill/4480,118th Congress (2023-2024),SERV Act,"Davids, Sharice [Rep.-D-KS-3]",07/06/2023,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,11/29/2023,2,,,,,
H.R. 4670,https://www.congress.gov/bill/118th-congress/house-bill/4670,118th Congress (2023-2024),Small Business Contracting Transparency Act of 2023,"Houlahan, Chrissy [Rep.-D-PA-6]",07/17/2023,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,11/29/2023,3,,,,,
H.J.Res. 66,https://www.congress.gov/bill/118th-congress/house-joint-resolution/66,118th Congress (2023-2024),"Disapproving the rule submitted by the Consumer Financial Protection Bureau relating to ""Small Business Lending Under the Equal Credit Opportunity Act (Regulation B)"".","Williams, Roger [Rep.-R-TX-25]",05/31/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 224.",11/28/2023,39,,,,,
H.Res. 869,https://www.congress.gov/bill/118th-congress/house-resolution/869,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 5893) making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2024, and for other purposes, and providing for consideration of the bill (H.R. 5961) to freeze certain Iranian funds involved in the 2023 hostage deal between the United States and Iran, and for other purposes.","Massie, Thomas [Rep.-R-KY-4]",11/14/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,11/15/2023,0,,,,,
H.R. 3506,https://www.congress.gov/bill/118th-congress/house-bill/3506,118th Congress (2023-2024),"To make technical amendments to update statutory references to certain provisions classified to title 7, title 20, and title 43, United States Code, and to correct related technical errors.","Kiley, Kevin [Rep.-R-CA-3]",05/18/2023,House - Judiciary | Senate - Judiciary,Received in the Senate and Read twice and referred to the Committee on the Judiciary.,11/14/2023,0,,,,,
H.R. 3496,https://www.congress.gov/bill/118th-congress/house-bill/3496,118th Congress (2023-2024),"To make technical amendments to update statutory references to certain provisions which were formerly classified to chapters 14 and 19 of title 25, United States Code, and to correct related technical errors.","Hageman, Harriet M. [Rep.-R-WY-At Large]",05/18/2023,House - Judiciary | Senate - Judiciary,Received in the Senate and Read twice and referred to the Committee on the Judiciary.,11/14/2023,0,,,,,
H.Res. 864,https://www.congress.gov/bill/118th-congress/house-resolution/864,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 5894) making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2024, and for other purposes.","Burgess, Michael C. [Rep.-R-TX-26]",11/13/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,11/14/2023,0,,,,,
H.R. 786,https://www.congress.gov/bill/118th-congress/house-bill/786,118th Congress (2023-2024),"To amend title 28, United States Code, to provide an additional place for holding court for the Pecos Division of the Western District of Texas, and for other purposes.","Gonzales, Tony [Rep.-R-TX-23]",02/02/2023,House - Judiciary,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 245.,11/14/2023,2,,,,,
H.R. 3571,https://www.congress.gov/bill/118th-congress/house-bill/3571,118th Congress (2023-2024),"To make technical amendments to update statutory references to certain provisions classified to title 2, United States Code, title 50, United States Code, and title 52, United States Code, and to correct related technical errors.","Dean, Madeleine [Rep.-D-PA-4]",05/22/2023,House - Judiciary | Senate - Judiciary,Received in the Senate and Read twice and referred to the Committee on the Judiciary.,11/14/2023,0,,,,,
H.R. 3578,https://www.congress.gov/bill/118th-congress/house-bill/3578,118th Congress (2023-2024),"To make technical amendments to update statutory references to provisions reclassified to title 34, United States Code, and to correct related technical errors.","Ivey, Glenn [Rep.-D-MD-4]",05/22/2023,House - Judiciary | Senate - Judiciary,Received in the Senate and Read twice and referred to the Committee on the Judiciary.,11/14/2023,0,,,,,
H.R. 366,https://www.congress.gov/bill/118th-congress/house-bill/366,118th Congress (2023-2024),Korean American VALOR Act,"Takano, Mark [Rep.-D-CA-39]",01/13/2023,House - Veterans' Affairs | Senate - Veterans' Affairs,Became Public Law No: 118-20.,11/13/2023,15,,,,,
H.R. 4664,https://www.congress.gov/bill/118th-congress/house-bill/4664,118th Congress (2023-2024),"Making appropriations for financial services and general government for the fiscal year ending September 30, 2024, and for other purposes.","Womack, Steve [Rep.-R-AR-3]",07/17/2023,House - Appropriations,"POSTPONED PROCEEDINGS - Pursuant to clause 1(c) of rule XIX, the Chair announced further proceedings on H.R. 4664 would be postponed.",11/09/2023,0,,,,,
H.R. 4821,https://www.congress.gov/bill/118th-congress/house-bill/4821,118th Congress (2023-2024),"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2024","Simpson, Michael K. [Rep.-R-ID-2]",07/24/2023,House - Appropriations,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 239.,11/07/2023,0,,,,,
H.R. 4820,https://www.congress.gov/bill/118th-congress/house-bill/4820,118th Congress (2023-2024),"Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2024","Cole, Tom [Rep.-R-OK-4]",07/24/2023,House - Appropriations,"POSTPONED PROCEEDINGS - Pursuant to clause 1(c) of rule XIX, the Chair announced further proceedings on H.R. 4820 would be postponed.",11/07/2023,0,,,,,
H.Res. 847,https://www.congress.gov/bill/118th-congress/house-resolution/847,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 4664) making appropriations for financial services and general government for the fiscal year ending September 30, 2024, and for other purposes.","Houchin, Erin [Rep.-R-IN-9]",11/06/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,11/07/2023,0,,,,,
H.R. 5734,https://www.congress.gov/bill/118th-congress/house-bill/5734,118th Congress (2023-2024),To amend the Federal Election Campaign Act of 1971 to extend the Administrative Fine Program for certain reporting violations.,"Steil, Bryan [Rep.-R-WI-1]",09/26/2023,House - House Administration,"Placed on the Union Calendar, Calendar No. 211.",11/02/2023,1,,,,,
H.R. 4364,https://www.congress.gov/bill/118th-congress/house-bill/4364,118th Congress (2023-2024),"Legislative Branch Appropriations Act, 2024","Amodei, Mark E. [Rep.-R-NV-2]",06/27/2023,House - Appropriations,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 235.,11/02/2023,0,,,,,
H.Res. 838,https://www.congress.gov/bill/118th-congress/house-resolution/838,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 4821) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 4820) making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2024, and for other purposes; and providing for consideration of the bill (H.R. 6126) making emergency supplemental appropriations to respond to the attacks in Israel for the fiscal year ending September 30, 2024, and for other purposes.","Fischbach, Michelle [Rep.-R-MN-7]",11/02/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,11/02/2023,0,,,,,
H.R. 4509,https://www.congress.gov/bill/118th-congress/house-bill/4509,118th Congress (2023-2024),Transparency in Billing Act of 2023,"Foxx, Virginia [Rep.-R-NC-5]",07/10/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 208.",11/01/2023,1,,,,,
H.R. 4508,https://www.congress.gov/bill/118th-congress/house-bill/4508,118th Congress (2023-2024),Hidden Fee Disclosure Act of 2023,"Courtney, Joe [Rep.-D-CT-2]",07/10/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 209.",11/01/2023,1,,,,,
H.R. 4394,https://www.congress.gov/bill/118th-congress/house-bill/4394,118th Congress (2023-2024),"Energy and Water Development and Related Agencies Appropriations Act, 2024","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]",06/30/2023,House - Appropriations,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 233.,11/01/2023,0,,,,,
H.R. 662,https://www.congress.gov/bill/118th-congress/house-bill/662,118th Congress (2023-2024),Block Grant Assistance Act of 2023,"Franklin, C. Scott [Rep.-R-FL-18]",01/31/2023,House - Agriculture | Senate - Appropriations,"Under the order of 10/24/23, having not achieved 60 votes in the affirmative, failed of passage in Senate by Yea-Nay Vote. 43 - 53. Record Vote Number: 285.",11/01/2023,31,,,,,
H.R. 4527,https://www.congress.gov/bill/118th-congress/house-bill/4527,118th Congress (2023-2024),Health DATA Act of 2023,"Chavez-DeRemer, Lori [Rep.-R-OR-5]",07/11/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 210.",11/01/2023,2,,,,,
H.R. 5721,https://www.congress.gov/bill/118th-congress/house-bill/5721,118th Congress (2023-2024),Rape Kit Backlog Progress Act of 2023,"Mace, Nancy [Rep.-R-SC-1]",09/26/2023,House - Judiciary,"Placed on the Union Calendar, Calendar No. 206.",10/26/2023,40,,,,,
H.R. 3309,https://www.congress.gov/bill/118th-congress/house-bill/3309,118th Congress (2023-2024),Standard FEES Act,"Palmer, Gary J. [Rep.-R-AL-6]",05/15/2023,"House - Energy and Commerce, Transportation and Infrastructure","Reported by the Committee on Energy and Commerce. H. Rept. 118-245, Part I.",10/25/2023,2,,,,,
H.R. 3369,https://www.congress.gov/bill/118th-congress/house-bill/3369,118th Congress (2023-2024),Artificial Intelligence Accountability Act,"Harder, Josh [Rep.-D-CA-9]",05/16/2023,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 195.",10/25/2023,2,,,,,
H.R. 4957,https://www.congress.gov/bill/118th-congress/house-bill/4957,118th Congress (2023-2024),Department of Labor Succession Act,"Kiley, Kevin [Rep.-R-CA-3]",07/27/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 204.",10/25/2023,2,,,,,
H.R. 4365,https://www.congress.gov/bill/118th-congress/house-bill/4365,118th Congress (2023-2024),"Department of Defense Appropriations Act, 2024","Calvert, Ken [Rep.-R-CA-41]",06/27/2023,House - Appropriations,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 226.,10/16/2023,0,,,,,
H.R. 5110,https://www.congress.gov/bill/118th-congress/house-bill/5110,118th Congress (2023-2024),Protecting Hunting Heritage and Education Act,"Green, Mark E. [Rep.-R-TN-7]",08/01/2023,House - Education and the Workforce,Became Public Law No: 118-17.,10/06/2023,71,,,,,
H.Res. 699,https://www.congress.gov/bill/118th-congress/house-resolution/699,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 1130) to repeal restrictions on the export and import of natural gas; providing for consideration of the resolution (H. Res. 684) condemning the actions of Governor of New Mexico, Michelle Lujan Grisham, for subverting the Second Amendment to the Constitution and depriving the citizens of New Mexico of their right to bear arms; and providing for consideration of the bill (H.R. 5525) making continuing appropriations for fiscal year 2024, and for other purposes.","Reschenthaler, Guy [Rep.-R-PA-14]",09/19/2023,House - Rules,"Pursuant to the provisions of H. Res. 756, H. Res. 699 is laid on the table.",10/03/2023,0,,,,,
H.R. 4665,https://www.congress.gov/bill/118th-congress/house-bill/4665,118th Congress (2023-2024),"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024","Diaz-Balart, Mario [Rep.-R-FL-26]",07/17/2023,House - Appropriations,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 222.,10/03/2023,0,,,,,
H.Res. 756,https://www.congress.gov/bill/118th-congress/house-resolution/756,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 4394) making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2024, and for other purposes, and providing for consideration of the bill (H.R. 4364) making appropriations for the Legislative Branch for the fiscal year ending September 30, 2024, and for other purposes.","Reschenthaler, Guy [Rep.-R-PA-14]",10/03/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,10/03/2023,0,,,,,
H.R. 2577,https://www.congress.gov/bill/118th-congress/house-bill/2577,118th Congress (2023-2024),DHS Suicide Prevention and Resiliency for Law Enforcement Act,"Thompson, Bennie G. [Rep.-D-MS-2]",04/13/2023,House - Homeland Security,"Placed on the Union Calendar, Calendar No. 189.",10/02/2023,15,,,,,
H.R. 3943,https://www.congress.gov/bill/118th-congress/house-bill/3943,118th Congress (2023-2024),Servicemember Employment Protection Act of 2023,"Franklin, C. Scott [Rep.-R-FL-18]",06/09/2023,House - Veterans' Affairs,"Placed on the Union Calendar, Calendar No. 193.",10/02/2023,1,,,,,
H.R. 3557,https://www.congress.gov/bill/118th-congress/house-bill/3557,118th Congress (2023-2024),American Broadband Deployment Act of 2023,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",05/22/2023,"House - Energy and Commerce, Natural Resources, Transportation and Infrastructure","Placed on the Union Calendar, Calendar No. 192.",10/02/2023,11,,,,,
H.Res. 741,https://www.congress.gov/bill/118th-congress/house-resolution/741,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 5525) making continuing appropriations for fiscal year 2024, and for other purposes.","Reschenthaler, Guy [Rep.-R-PA-14]",09/29/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,09/29/2023,0,,,,,
H.R. 4822,https://www.congress.gov/bill/118th-congress/house-bill/4822,118th Congress (2023-2024),Health Care Price Transparency Act of 2023,"Smith, Jason [Rep.-R-MO-8]",07/24/2023,"House - Ways and Means, Energy and Commerce, Education and the Workforce, Budget","Reported (Amended) by the Committee on Ways and Means. H. Rept. 118-231, Part I.",09/29/2023,0,,,,,
H.R. 4368,https://www.congress.gov/bill/118th-congress/house-bill/4368,118th Congress (2023-2024),"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024","Harris, Andy [Rep.-R-MD-1]",06/27/2023,House - Appropriations,Motion to reconsider laid on the table Agreed to without objection.,09/28/2023,0,,,,,
H.Res. 730,https://www.congress.gov/bill/118th-congress/house-resolution/730,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 5692) making supplemental appropriations for the fiscal year ending September 30, 2024, and for other purposes; providing for further consideration of the bill (H.R. 4365) making appropriations for the Department of Defense for the fiscal year ending September 30, 2024, and for other purposes; and providing for further consideration of the bill (H.R. 4367) making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2024, and for other purposes.","Cole, Tom [Rep.-R-OK-4]",09/27/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,09/28/2023,0,,,,,
H.R. 4367,https://www.congress.gov/bill/118th-congress/house-bill/4367,118th Congress (2023-2024),"Department of Homeland Security Appropriations Act, 2024","Joyce, David P. [Rep.-R-OH-14]",06/27/2023,House - Appropriations,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 4367.",09/28/2023,0,,,,,
H.R. 5425,https://www.congress.gov/bill/118th-congress/house-bill/5425,118th Congress (2023-2024),"To amend the Small Business Act to enhance the Office of Rural Affairs, and for other purposes.","Golden, Jared F. [Rep.-D-ME-2]",09/13/2023,House - Small Business,"Placed on the Union Calendar, Calendar No. 180.",09/26/2023,3,,,,,
H.R. 5340,https://www.congress.gov/bill/118th-congress/house-bill/5340,118th Congress (2023-2024),Providing Complete Information to Retirement Investors Act,"Banks, Jim [Rep.-R-IN-3]",09/05/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 183.",09/26/2023,1,,,,,
H.R. 5338,https://www.congress.gov/bill/118th-congress/house-bill/5338,118th Congress (2023-2024),No Discrimination in My Benefits Act,"Good, Bob [Rep.-R-VA-5]",09/05/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 185.",09/26/2023,0,,,,,
H.R. 5424,https://www.congress.gov/bill/118th-congress/house-bill/5424,118th Congress (2023-2024),Main Street Competes Act,"Scholten, Hillary J. [Rep.-D-MI-3]",09/13/2023,House - Small Business,"Placed on the Union Calendar, Calendar No. 181.",09/26/2023,3,,,,,
H.R. 5337,https://www.congress.gov/bill/118th-congress/house-bill/5337,118th Congress (2023-2024),Retirement Proxy Protection Act,"Houchin, Erin [Rep.-R-IN-9]",09/05/2023,House - Education and the Workforce,"Placed on the Union Calendar, Calendar No. 186.",09/26/2023,8,,,,,
H.R. 3447,https://www.congress.gov/bill/118th-congress/house-bill/3447,118th Congress (2023-2024),"To amend title 23, United States Code, to authorize a hydrogen powered vehicle to exceed certain weight limits on the Interstate Highway System, and for other purposes.","Stanton, Greg [Rep.-D-AZ-4]",05/17/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 176.",09/26/2023,0,,,,,
H.Res. 723,https://www.congress.gov/bill/118th-congress/house-resolution/723,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 4365) making appropriations for the Department of Defense for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 4367) making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 4665) making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2024, and for other purposes; and providing for consideration of the bill (H.R. 4368) making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2024, and for other purposes.","Roy, Chip [Rep.-R-TX-21]",09/26/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,09/26/2023,0,,,,,
H.Res. 712,https://www.congress.gov/bill/118th-congress/house-resolution/712,118th Congress (2023-2024),"Providing for consideration of the bill (H.R. 4365) making appropriations for the Department of Defense for the fiscal year ending September 30, 2024, and for other purposes; providing for consideration of the bill (H.R. 1130) to repeal restrictions on the export and import of natural gas; and providing for consideration of the resolution (H. Res. 684) condemning the actions of Governor of New Mexico, Michelle Lujan Grisham, for subverting the Second Amendment to the Constitution and depriving the citizens of New Mexico of their right to bear arms.","Cole, Tom [Rep.-R-OK-4]",09/21/2023,House - Rules,Motion to reconsider laid on the table Agreed to without objection.,09/22/2023,0,,,,,
H.R. 2544,https://www.congress.gov/bill/118th-congress/house-bill/2544,118th Congress (2023-2024),Securing the U.S. Organ Procurement and Transplantation Network Act,"Bucshon, Larry [Rep.-R-IN-8]",04/10/2023,House - Energy and Commerce,Became Public Law No: 118-14.,09/22/2023,10,,,,,
