Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 6960,https://www.congress.gov/bill/118th-congress/house-bill/6960,118th Congress (2023-2024),Emergency Medical Services for Children Reauthorization Act of 2024,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",01/11/2024,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",Became Public Law No: 118-178.,12/23/2024,10,,,,,
H.R. 1727,https://www.congress.gov/bill/118th-congress/house-bill/1727,118th Congress (2023-2024),Chesapeake and Ohio Canal National Historical Park Commission Extension Act,"Trone, David J. [Rep.-D-MD-6]",03/22/2023,House - Natural Resources,Became Public Law No: 118-163.,12/23/2024,6,,,,,
H.R. 3254,https://www.congress.gov/bill/118th-congress/house-bill/3254,118th Congress (2023-2024),First Responder Access to Innovative Technologies Act,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",05/11/2023,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Became Public Law No: 118-165.,12/23/2024,1,,,,,
H.R. 663,https://www.congress.gov/bill/118th-congress/house-bill/663,118th Congress (2023-2024),Native American Child Protection Act,"Gallego, Ruben [Rep.-D-AZ-3]",01/31/2023,House - Natural Resources,Became Public Law No: 118-160.,12/23/2024,8,,,,,
H.R. 3801,https://www.congress.gov/bill/118th-congress/house-bill/3801,118th Congress (2023-2024),Employer Reporting Improvement Act,"Smith, Adrian [Rep.-R-NE-3]",06/05/2023,House - Ways and Means | Senate - Finance,Became Public Law No: 118-168.,12/23/2024,1,,,,,
H.R. 3797,https://www.congress.gov/bill/118th-congress/house-bill/3797,118th Congress (2023-2024),Paperwork Burden Reduction Act,"Smith, Jason [Rep.-R-MO-8]",06/05/2023,House - Ways and Means | Senate - Finance,Became Public Law No: 118-167.,12/23/2024,1,,,,,
H.R. 3324,https://www.congress.gov/bill/118th-congress/house-bill/3324,118th Congress (2023-2024),To extend the authority to collect Shasta-Trinity Marina fees through fiscal year 2029.,"Huffman, Jared [Rep.-D-CA-2]",05/15/2023,House - Natural Resources | Senate - Energy and Natural Resources,Became Public Law No: 118-166.,12/23/2024,1,,,,,
H.R. 2468,https://www.congress.gov/bill/118th-congress/house-bill/2468,118th Congress (2023-2024),Mountain View Corridor Completion Act,"Owens, Burgess [Rep.-R-UT-4]",04/03/2023,House - Natural Resources,Became Public Law No: 118-164.,12/23/2024,3,,,,,
H.R. 4467,https://www.congress.gov/bill/118th-congress/house-bill/4467,118th Congress (2023-2024),DHS Border Services Contracts Review Act,"Brecheen, Josh [Rep.-R-OK-2]",07/06/2023,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Became Public Law No: 118-171.,12/23/2024,1,,,,,
H.R. 8662,https://www.congress.gov/bill/118th-congress/house-bill/8662,118th Congress (2023-2024),TSA Commuting Fairness Act,"Kennedy, Timothy M. [Rep.-D-NY-26]",06/07/2024,"House - Homeland Security | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/20/2024,2,,,,,
H.R. 9748,https://www.congress.gov/bill/118th-congress/house-bill/9748,118th Congress (2023-2024),Research Security and Accountability in DHS Act,"D'Esposito, Anthony [Rep.-R-NY-4]",09/23/2024,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,12/20/2024,1,,,,,
H.R. 8664,https://www.congress.gov/bill/118th-congress/house-bill/8664,118th Congress (2023-2024),DHS Intelligence and Analysis Oversight and Transparency Act,"Lee, Laurel M. [Rep.-R-FL-15]",06/07/2024,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,12/19/2024,2,,,,,
H.R. 8302,https://www.congress.gov/bill/118th-congress/house-bill/8302,118th Congress (2023-2024),HUD Evaluation and Optimization Commission Act of 2024,"Davidson, Warren [Rep.-R-OH-8]",05/08/2024,"House - Financial Services, Rules","Placed on the Union Calendar, Calendar No. 771.",12/19/2024,3,,,,,
H.R. 5527,https://www.congress.gov/bill/118th-congress/house-bill/5527,118th Congress (2023-2024),Modernizing Government Technology Reform Act,"Mace, Nancy [Rep.-R-SC-1]",09/18/2023,House - Oversight and Accountability | Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 752.,12/19/2024,2,,,,,
H.R. 9457,https://www.congress.gov/bill/118th-congress/house-bill/9457,118th Congress (2023-2024),Transparent Telehealth Bills Act of 2024,"Bean, Aaron [Rep.-R-FL-4]",09/06/2024,"House - Education and the Workforce, Energy and Commerce","Placed on the Union Calendar, Calendar No. 785.",12/19/2024,0,,,,,
H.R. 4552,https://www.congress.gov/bill/118th-congress/house-bill/4552,118th Congress (2023-2024),Federal Information Security Modernization Act of 2024,"Mace, Nancy [Rep.-R-SC-1]",07/11/2023,"House - Oversight and Accountability, Science, Space, and Technology, Homeland Security, Armed Services","Placed on the Union Calendar, Calendar No. 790.",12/19/2024,4,,,,,
H.R. 8784,https://www.congress.gov/bill/118th-congress/house-bill/8784,118th Congress (2023-2024),FREE Act,"Maloy, Celeste [Rep.-R-UT-2]",06/18/2024,House - Oversight and Accountability,"Placed on the Union Calendar, Calendar No. 791.",12/19/2024,26,,,,,
H.R. 1753,https://www.congress.gov/bill/118th-congress/house-bill/1753,118th Congress (2023-2024),To ensure that certain members of the Armed Forces who served in female cultural support teams receive proper credit for such service.,"Issa, Darrell E. [Rep.-R-CA-48]",03/23/2023,"House - Veterans' Affairs, Armed Services","Reported (Amended) by the Committee on Veterans' Affairs. H. Rept. 118-938, Part I.",12/19/2024,31,,,,,
H.R. 8616,https://www.congress.gov/bill/118th-congress/house-bill/8616,118th Congress (2023-2024),EQUIP Act of 2024,"Perry, Scott [Rep.-R-PA-10]",06/04/2024,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 762.",12/19/2024,0,,,,,
H.R. 7832,https://www.congress.gov/bill/118th-congress/house-bill/7832,118th Congress (2023-2024),Emerging Innovative Border Technologies Act,"Correa, J. Luis [Rep.-D-CA-46]",03/29/2024,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 754.,12/19/2024,1,,,,,
H.R. 6231,https://www.congress.gov/bill/118th-congress/house-bill/6231,118th Congress (2023-2024),Department of Homeland Security Policy Issuance Review Act,"Ivey, Glenn [Rep.-D-MD-4]",11/06/2023,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 753.,12/19/2024,3,,,,,
H.R. 7070,https://www.congress.gov/bill/118th-congress/house-bill/7070,118th Congress (2023-2024),Wildfire Response Improvement Act,"Stanton, Greg [Rep.-D-AZ-4]",01/22/2024,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 763.",12/19/2024,7,,,,,
H.R. 8261,https://www.congress.gov/bill/118th-congress/house-bill/8261,118th Congress (2023-2024),"Preserving Telehealth, Hospital, and Ambulance Access Act","Schweikert, David [Rep.-R-AZ-1]",05/07/2024,"House - Ways and Means, Energy and Commerce","Placed on the Union Calendar, Calendar No. 786.",12/19/2024,1,,,,,
H.R. 5409,https://www.congress.gov/bill/118th-congress/house-bill/5409,118th Congress (2023-2024),Safeguarding American Farms from Foreign Influence Act,"Luetkemeyer, Blaine [Rep.-R-MO-3]",09/12/2023,"House - Financial Services, Foreign Affairs, Energy and Commerce","Placed on the Union Calendar, Calendar No. 782.",12/19/2024,5,,,,,
H.R. 4406,https://www.congress.gov/bill/118th-congress/house-bill/4406,118th Congress (2023-2024),DHS Basic Training Accreditation Improvement Act of 2023,"Correa, J. Luis [Rep.-D-CA-46]",06/30/2023,"House - Homeland Security, Judiciary","Placed on the Union Calendar, Calendar No. 784.",12/19/2024,0,,,,,
H.R. 5665,https://www.congress.gov/bill/118th-congress/house-bill/5665,118th Congress (2023-2024),Promoting Accessibility on Federal Lands Act of 2024,"Stansbury, Melanie Ann [Rep.-D-NM-1]",09/21/2023,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 776.",12/19/2024,8,,,,,
H.R. 3988,https://www.congress.gov/bill/118th-congress/house-bill/3988,118th Congress (2023-2024),ARTICLE ONE Act,"Roy, Chip [Rep.-R-TX-21]",06/09/2023,"House - Transportation and Infrastructure, Foreign Affairs, Rules","Placed on the Union Calendar, Calendar No. 764.",12/19/2024,17,,,,,
